ticket_id,customer_id,ticket_type,message,sentiment,status,created_at
TICK-000001,CUST-00760,retention_risk,"This is the third time an order has been late, I'm thinking about cancelling my account.",very_negative,open,2025-04-25T04:00:00
TICK-000002,CUST-00090,return_request,"I ordered the wrong color by mistake, is exchange possible at this point?",negative,open,2025-01-16T02:00:00
TICK-000003,CUST-00028,order_inquiry,Checking in on ORD-004932 — no movement on tracking for almost a week.,negative,open,2025-08-03T07:00:00
TICK-000004,CUST-00829,policy_question,Is expedited shipping refundable if the delivery is late anyway?,neutral,open,2025-08-05T10:00:00
TICK-000005,CUST-00105,order_inquiry,I placed this order almost 7 days ago. Is it still in transit?,neutral,resolved,2025-02-19T11:00:00
TICK-000006,CUST-00271,return_request,"This isn't what was pictured on the product page, requesting a return.",neutral,resolved,2025-03-05T12:00:00
TICK-000007,CUST-00850,order_inquiry,The tracking page hasn't changed since it left the warehouse.,negative,resolved,2025-04-09T22:00:00
TICK-000008,CUST-00234,order_inquiry,My delivery window passed yesterday and there's no update.,neutral,open,2025-04-30T03:00:00
TICK-000009,CUST-00651,policy_question,What counts as eligible for a late-delivery refund?,neutral,open,2025-07-09T11:00:00
TICK-000010,CUST-00719,order_inquiry,The tracking page hasn't changed since it left the warehouse.,negative,open,2025-03-29T17:00:00
TICK-000011,CUST-00389,return_request,"I'd like to send this back, it's been 10 days since delivery, is that still within the window?",negative,open,2025-06-16T01:00:00
TICK-000012,CUST-00411,order_inquiry,My package was supposed to arrive 7 days ago and I still haven't received it.,neutral,open,2025-04-19T18:00:00
TICK-000013,CUST-00218,return_request,"The product stopped working after two uses, I want to return it.",negative,resolved,2025-08-23T04:00:00
TICK-000014,CUST-00552,order_inquiry,I placed this order almost 12 days ago. Is it still in transit?,neutral,resolved,2025-07-24T11:00:00
TICK-000015,CUST-00506,order_inquiry,Can someone tell me what's happening with order ORD-004175?,neutral,open,2025-02-26T04:00:00
TICK-000016,CUST-00611,retention_risk,This is becoming a pattern and I don't think I want to keep ordering here.,negative,resolved,2025-07-15T19:00:00
